genome_id	coverage	uniq_abundance	multi_abundance	total_abundance	total_abundance_pmkb
UMGS1220	0.016672202574115686	8.723795425371723e-05	0.0	8.723795425371723e-05	0.0103957464448153
18048_1_76	0.07475559749440921	0.00038205272787949227	0.0	0.00038205272787949227	0.045527469340169484
20298_2_48	0.0006191785876786588	3.1271645842356507e-06	0.0	3.1271645842356507e-06	0.000372649844749596
UMGS1178	0.07979462448251713	0.00043935034793713036	0.0	0.00043935034793713036	0.052355363633497534
UMGS1825	0.002464724855736723	1.5427805054255335e-05	0.0	1.5427805054255335e-05	0.001838460689685928
UMGS364	0.0008693557181441233	4.5648783333122e-06	0.0	4.5648783333122e-06	0.000543975590790778
GCF_000344985.2	0.0	0.0	0.0	0.0	0.0
14207_7_28	0.05103125194234887	0.00026235531756050993	0.0	0.00026235531756050993	0.03126367855756826
GCF_000345705.2	0.0	0.0	0.0	0.0	0.0
UMGS85	0.1395105715064278	0.0007104654297384391	0.0	0.0007104654297384391	0.08466290307412662
UMGS1166	0.004565681151665337	2.3926866445125636e-05	0.0	2.3926866445125636e-05	0.002851254811169378
UMGS938	0.003868933548354437	1.9628768336110632e-05	0.0	1.9628768336110632e-05	0.0023390701947544855
18048_1_80	0.02128234930651135	0.00010666860739316908	0.0	0.00010666860739316908	0.012711208161253802
GCF_000158495.1	0.001063704926940051	8.2075997449078e-06	0.0	8.2075997449078e-06	0.0009780619754154373
UMGS1250	0.0008942955067442856	4.9425658403829255e-06	0.0	4.9425658403829255e-06	0.0005889828768106052
UMGS259	0.0012894241847170617	8.053867487302072e-06	0.0	8.053867487302072e-06	0.0009597424081567854
20287_6_40	0.7907238190164676	0.004000667105248425	0.0	0.004000667105248425	0.47674112938639523
20298_3_28	0.0	0.0	0.0	0.0	0.0
20298_3_4	0.0009390368391833416	4.763661834791841e-06	0.0	4.763661834791841e-06	0.0005676637079236584
18391_1_7	0.000266756514970199	2.323663022388493e-06	0.0	2.323663022388493e-06	0.0002769002529987073
UMGS834	0.06058668496483321	0.00034031817323304	0.0	0.00034031817323304	0.040554154092198515
UMGS447	0.0011801680517546636	5.6944176200466275e-06	0.0	5.6944176200466275e-06	0.0006785776011749026
